path,kind,regenerable,size_bytes,produced_by,description
source/annotations/precision_points.csv,source,primary,798866,-,"18,023 checked detections. Manual judgements; no script reconstructs them."
source/annotations/raw/,source,primary,58578626,-,"Raw exports from the labelling platform, before aggregation. Kept so the aggregation is checkable."
source/annotations/raw/quality_assessment/key_precision.csv,source,primary,31895,-,Blind key for the precision re-review. Input to the kappa test.
source/annotations/raw/quality_assessment/key_recall_fn.csv,source,primary,21544,-,Blind key for the false-negative re-review.
source/annotations/recall_points.csv,source,primary,1074967,-,"13,830 independently located installations, each marked found or missed."
source/annotations/recall_src.csv,source,primary,1111231,-,Provenance and estimated size of each ground-truth point. Specification B weights by this.
source/boundaries/communes_simplified.gpkg,source,needs_external_download,16355328,-,"Municipal geometries from IGN ADMIN EXPRESS, simplified to 200 m and reprojected. Shipped so the truncation map runs without the full 1.1 GB boundary dataset."
source/boundaries/dates_patch_communes.csv,source,primary,37161,-,Manual date corrections for municipalities the mosaicking graphs miss.
source/boundaries/departements.geojson,source,needs_external_download,1079714,-,Simplified departmental geometry (IGN ADMIN EXPRESS).
source/boundaries/departements_detailed.geojson,source,needs_external_download,1866888,-,Full departmental outline (IGN ADMIN EXPRESS).
source/boundaries/world_lowres.geojson,source,needs_external_download,465987,-,Low-resolution basemap (Natural Earth).
source/detections/dpvm_detections_filtered.geojson,source,needs_external_download,339531686,code/0_pipeline/postprocess/filtering/filter_detections.py,"Rooftop PV detections, filtered to the <=36 kWp perimeter. Rebuilt from the unfiltered OpenPVMapper v3 product, published separately."
source/registries/raw/,source,primary,35962337,-,"The nine annual snapshots of the public registry that build_rni.py consumes. Open data, shipped because the platform republishes each vintage in place, so today's download is not necessarily what this study read."
source/registries/rni_2017-2025_flatten.csv,source,needs_external_download,21964143,code/0_pipeline/registries/build_rni.py,"Public registry, flattened across nine annual publications. Rebuilt from the ODRE annual dumps."
source/rte_derived/README.md,source,primary,2916,-,"Scope note for the redistribution agreement: what each file holds, and what is deliberately absent."
source/rte_derived/operator_by_municipality.csv,source,primary,1200532,not in this release (needs the raw operator extract; kept in the authors' archive),"Grid operator serving each of the 34,746 municipalities. Treatment variable of the fragmentation regression. Derived from the registry's libelle_eic_gestionnaire field, not from Agence ORE. Carries no capacity and no count."
source/rte_derived/rte_capacity_deciles.csv,source,primary,506,not in this release (needs the raw operator extract; kept in the authors' archive),"Same registry, aggregated by capacity decile."
source/rte_derived/rte_departmental_cutoffs.csv,source,primary,90448,not in this release (needs the raw operator extract; kept in the authors' archive),Transmission operator registry aggregated by department and cutoff date. The per-installation extract is not redistributable.
source/rte_derived/rte_eld_within_department.csv,source,primary,698,not in this release (needs the raw operator extract; kept in the authors' archive),"Same registry, aggregated for the within-department distributor test."
source/rte_derived/rte_minimal.json,source,primary,378165,not in this release (needs the raw operator extract; kept in the authors' archive),Minimal aggregate record of the operator registry.
intermediate/audit/comparison_departements_rni_agg.csv,intermediate,shipped_not_replayable,19126,code/1_audit/2_comparisons_rni_agg.ipynb,"Audit verdicts against the public registry, departmental totals. Built by the municipality-level date matching, which needs the per-installation extract and cannot be replayed; see README, category 3."
intermediate/audit/comparison_departements_rni_bottomup.csv,intermediate,shipped_not_replayable,18980,code/1_audit/2_comparisons_rni_bottomup.ipynb,"Audit verdicts against the public registry rebuilt from municipal values. Built by the municipality-level date matching, which needs the per-installation extract and cannot be replayed; see README, category 3."
intermediate/audit/comparison_departements_rte.csv,intermediate,shipped_not_replayable,19094,code/1_audit/1_comparisons_rte.ipynb,"Audit verdicts against the operator registry: 25 below, 8 above. Built by the municipality-level date matching, which needs the per-installation extract and cannot be replayed; see README, category 3."
intermediate/audit/estimation_convergence_regions.csv,intermediate,from_release,1044,code/0_pipeline/sanity_checks/estimation_convergence_scales.ipynb,"Same comparison, region by region."
intermediate/audit/estimation_convergence_scales.csv,intermediate,from_release,298,code/0_pipeline/sanity_checks/estimation_convergence_scales.ipynb,"National total formed at unit, region and pooled level."
intermediate/audit/robustness_specs_rni_agg.csv,intermediate,from_release,48481,code/1_audit/2_comparisons_rni_agg.ipynb,"Specification battery, public registry totals."
intermediate/audit/robustness_specs_rni_bottomup.csv,intermediate,from_release,48361,code/1_audit/2_comparisons_rni_bottomup.ipynb,"Specification battery, public registry bottom-up."
intermediate/audit/robustness_specs_rte.csv,intermediate,from_release,48462,code/1_audit/1_comparisons_rte.ipynb,Specification battery A/B/C/D and the hard core.
intermediate/audit/table_s2_specifications.csv,intermediate,from_release,5120,code/0_pipeline/sanity_checks/battery_specification.ipynb,"Specification battery, unit by unit. Table S2 of the paper."
intermediate/audit/truncation_share_by_unit.csv,intermediate,from_release,2133,code/1_audit/3_truncation_bias.ipynb,Share of municipalities censored by the public registry privacy rule.
intermediate/audit/truncation_status_change.csv,intermediate,from_release,2498,code/1_audit/3_truncation_bias.ipynb,Units whose verdict changes once censoring is corrected: 32 to 8.
intermediate/evaluation/false_fn_to_remove.csv,intermediate,from_release,477,code/0_pipeline/evaluation/quality_assessment/kappa.ipynb,Ground-truth points found invalid on re-review.
intermediate/evaluation/fn_validity.json,intermediate,from_release,156,code/0_pipeline/evaluation/quality_assessment/kappa.ipynb,Ground-truth validity correction from the re-review. Source of the 0.932 weight.
intermediate/evaluation/kappa_precision_results.csv,intermediate,from_release,253,code/0_pipeline/evaluation/quality_assessment/kappa.ipynb,Inter-rater agreement on the precision sample.
intermediate/evaluation/osm_pv_france.geojson,intermediate,needs_external_download,22721880,code/0_pipeline/evaluation/recall/osm/extract_osm_pbf.py,"6,499 PV objects extracted from the France OpenStreetMap dump. Needs the 5 GB .pbf, not redistributed."
intermediate/evaluation/osm_sources.csv,intermediate,needs_external_download,371711,code/0_pipeline/evaluation/recall/osm/fetch_osm_first_seen.py,First-seen date of each OSM object. Needs the OSM history API.
intermediate/evaluation/source_concordance_results.csv,intermediate,from_release,209,code/0_pipeline/evaluation/quality_assessment/gt_bias_tests.ipynb,Recall by ground-truth source: does OSM behave like manual annotation?
intermediate/evaluation/table.csv,intermediate,from_release,50171,code/0_pipeline/evaluation/score_and_aggregation.ipynb,Per-unit precision and recall counts and Beta parameters. recall_fn is fractional: unreviewed false negatives carry a weight of one minus the measured false-FN rate.
intermediate/evaluation/vintage_effect_results.csv,intermediate,from_release,342,code/0_pipeline/evaluation/quality_assessment/gt_bias_tests.ipynb,Detection performance by imagery vintage.
intermediate/mechanisms/eld_balance_table.csv,intermediate,from_release,705,code/2_mechanisms/2_eld.ipynb,Covariate balance between distributor types.
